Location,Latitude,Longitude,GeoCode Address,Person,Organization,Facility,Artifact
NYC,40.7127837,-74.0059413,"New York, NY, USA",christophjoyce,,NYC 's Underground Power Grid,
,0.0,0.0,,,Utility System,,
,0.0,0.0,,,todayshowhealth,,
,0.0,0.0,,SenGillibrand,,,sandy # relief # guidebook
Rockaway Beach,40.5867247,-73.8114993,"Rockaway Beach, Queens, NY 11693, USA",FLeXxX,newsbreaker Instagram,,PHOTO http://t.co/2rZkuik3 Instagram photo
"Manhattan , NY",40.790278,-73.959722,"Manhattan, New York, NY, USA",,Hospitals,,
"Manhattan , NY",40.7830603,-73.9712488,"Manhattan, NY, USA",,Hospitals,,
,0.0,0.0,,I,,,
,0.0,0.0,,,,Northeast hospitals,
,0.0,0.0,,FRANKCUNHAIII AxelKoster jade33870 azzatilana Trans1110 allaboutenergy WebmasterRidge spicy_spice,,,
,0.0,0.0,,,FCC fema,,
Fairfield,41.1408363,-73.2612615,"Fairfield, CT, USA",,Fairfield Citizen,,
Fairfield,40.8837406,-74.3059959,"Fairfield, NJ, USA",,Fairfield Citizen,,
,0.0,0.0,,barackobama GovChristie,CNN cspan,,
,0.0,0.0,,,,Schools Transit,
,0.0,0.0,,Steve King,Sandy,,Sandy Relief Money
,0.0,0.0,,New Yorkers without power,glamour_fashion BarneysNY,,power
Alabama,0.0,0.0,"Alabama, USA",hurricane victims,Unions Alabama ’s WAFF 48 News,,
,0.0,0.0,,,,,
NJ,0.0,0.0,"New Jersey, USA",CoryBooker NJ Sandy victims,,,
,0.0,0.0,,WayneValley_V us,,,
Lake Michigan,0.0,0.0,"Lake Michigan, United States",,cnnbrk weather service,,
Indiana,0.0,0.0,"Indiana, PA, USA",WinkEi8htYa you we We,,,
,0.0,0.0,,us we Thomas Merton,,,
,0.0,0.0,,I,,,
NYC,40.7127837,-74.0059413,"New York, NY, USA",People they their,,their homes,
Williamsburg,37.2707022,-76.7074571,"Williamsburg, VA, USA",victims of # Sandy,,,
albany,42.6525793,-73.7562317,"Albany, NY, USA",people,,,
albany,31.5785074,-84.15574099999999,"Albany, GA, USA",people,,,
,0.0,0.0,,,blackstone Blackstone portfolio company IndCor RedCross,"about 126 , 000sq  of space for # Sandy disaster relief",
,0.0,0.0,,pesatalk evanskidero JimnahMbaru philipkisia mayorGaladwa,,,
Vermont just about every place in the vast territory,0.0,0.0,"Vermont, USA",,,,
,0.0,0.0,,,ICD10_Monitor,,
,0.0,0.0,,,HIMYM_CBS,,
Upper East Side NYC,40.7735649,-73.9565551,"Upper East Side, New York, NY, USA",,,,
,0.0,0.0,,,,Oma 's shore house,
,0.0,0.0,,,fellow school board,the city streets,
,0.0,0.0,,Obama,msnbc,,
the Atlantic from # Sandy,0.0,0.0,,RyanMillerABC7,capitalweather,,
